,Brand,Phone name,Colour,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,URL
0,POCO,C31,Royal Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹7,999",https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG73E7GKQK4KZP.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
1,POCO,C31,Shadow Gray,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹7,999",https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG73E7UBFXXMCH.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
2,POCO,C31,Royal Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹6,999",https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBDYSPVO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG73E7ZBHHQ3RB.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
3,REDMI,10,Pacific Blue,4 GB,64 GB,50MP + 2MP,-,17.02 cm (6.7 inch),6000 mAh,"₹10,999",https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW1PUFXX&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGC9GYCHQZK9GW.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
4,REDMI,9i Sport,Coral Green,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹8,999",https://www.flipkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGO4EIDO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG6WQWJRFZ5WDG.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
5,Infinix,HOT 12 Play,Racing Black,4 GB,64 GB,13MP + Depth Lens,8MP Front Camera,17.32 cm (6.82 inch),6000 mAh,"₹8,499",https://www.flipkart.com/infinix-hot-12-play-racing-black-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYNTFHTXUW&lid=LSTMOBGE2KYNTFHTXUWDFJ0XM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGE2KYNTFHTXUW.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
6,REDMI,9i Sport,Carbon Black,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹8,999",https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm17ed463dc779a?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6DJKEOT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG6WQWRGRRDBH6.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
7,REDMI,10,Midnight Black,4 GB,64 GB,50MP + 2MP,-,17.02 cm (6.7 inch),6000 mAh,"₹10,999",https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4EOWOH9V&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGC9GYEBH3GZ4E.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
8,REDMI,9i Sport,Metallic Blue,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),5000 mAh,"₹8,999",https://www.flipkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUPYXGVY&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG6WQWQZZMGQCU.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
9,SAMSUNG,Galaxy F13,Nightsky Green,4 GB,64 GB,50MP + 5MP + 2MP,-,16.76 cm (6.6 inch),6000 mAh,"₹11,999",https://www.flipkart.com/samsung-galaxy-f13-nightsky-green-64-gb/p/itmeadfda1bd23fa?pid=MOBGENJWF4KJTPEN&lid=LSTMOBGENJWF4KJTPENAUQVSZ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGENJWF4KJTPEN.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
10,Infinix,HOT 12 Play,Daylight Green,4 GB,64 GB,13MP + Depth Lens,8MP Front Camera,17.32 cm (6.82 inch),6000 mAh,"₹8,499",https://www.flipkart.com/infinix-hot-12-play-daylight-green-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KY6JUTSNCP&lid=LSTMOBGE2KY6JUTSNCPGWOMYY&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGE2KY6JUTSNCP.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
11,Infinix,HOT 12 Play,Horizon Blue,4 GB,64 GB,13MP + Depth Lens,8MP Front Camera,17.32 cm (6.82 inch),6000 mAh,"₹8,499",https://www.flipkart.com/infinix-hot-12-play-horizon-blue-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYCFZA7BRB&lid=LSTMOBGE2KYCFZA7BRBUNTJVL&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGE2KYCFZA7BRB.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
12,realme,Narzo 50i,Mint Green,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),5000 mAh,"₹7,499",https://www.flipkart.com/realme-narzo-50i-mint-green-32-gb/p/itm53fa214c23501?pid=MOBG6MY4BU22NQYT&lid=LSTMOBG6MY4BU22NQYTJPXWNF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG6MY4BU22NQYT.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
13,realme,Narzo 50i,Carbon Black,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),5000 mAh,"₹7,499",https://www.flipkart.com/realme-narzo-50i-carbon-black-32-gb/p/itm53fa214c23501?pid=MOBG6MY4QPAW6PQN&lid=LSTMOBG6MY4QPAW6PQN7E18VA&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG6MY4QPAW6PQN.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
14,SAMSUNG,Galaxy F13,Sunrise Copper,4 GB,64 GB,50MP + 5MP + 2MP,-,16.76 cm (6.6 inch),6000 mAh,"₹11,999",https://www.flipkart.com/samsung-galaxy-f13-sunrise-copper-64-gb/p/itm0d8c65ec17621?pid=MOBGENJWWRYSFC5P&lid=LSTMOBGENJWWRYSFC5PYXUAZH&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGENJWWRYSFC5P.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
15,REDMI,10,Caribbean Green,4 GB,64 GB,50MP + 2MP,-,17.02 cm (6.7 inch),6000 mAh,"₹10,999",https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3NDJY6R&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGC9GYQGGKWEU3.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
16,REDMI,Note 10 Pro,Dark Night,6 GB,128 GB,64MP + 8MP + 5MP + 2MP,16MP Front Camera,16.94 cm (6.67 inch),5020 mAh,"₹15,999",https://www.flipkart.com/redmi-note-10-pro-dark-night-128-gb/p/itm0479a8f8adde1?pid=MOBGB725PZQVNSUH&lid=LSTMOBGB725PZQVNSUHWY66UG&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGB725PZQVNSUH.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
17,Infinix,Note 12 Pro 5G,Snowfall,8 GB,128 GB,108MP + 2MP (Depth) + 2MP (Macro),16MP Front Camera,17.02 cm (6.7 inch),5000 mAh,"₹17,999",https://www.flipkart.com/infinix-note-12-pro-5g-snowfall-128-gb/p/itm0812c7355f48a?pid=MOBGFGVXPBSV9FG6&lid=LSTMOBGFGVXPBSV9FG6OBADHP&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGFGVXPBSV9FG6.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
18,APPLE,iPhone 12,White,-,128 GB,12MP + 12MP,12MP Front Camera,15.49 cm (6.1 inch),-,"₹56,999",https://www.flipkart.com/apple-iphone-12-white-128-gb/p/itm95393f4c6cc59?pid=MOBFWBYZBTZFGJF9&lid=LSTMOBFWBYZBTZFGJF9RAHZAK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBFWBYZBTZFGJF9.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
19,REDMI,Note 10T 5G,Mint Green,6 GB,128 GB,48MP Primary Camera + 2MP Macro Lens + 2MP Depth Sensor,-,16.66 cm (6.56 inch),5000 mAh,"₹13,999",https://www.flipkart.com/redmi-note-10t-5g-mint-green-128-gb/p/itm9aa44a6740f67?pid=MOBGC7QFT9EAHMFF&lid=LSTMOBGC7QFT9EAHMFFUZVVWU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGC7QFT9EAHMFF.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
20,MOTOROLA,G60,Soft Silver,6 GB,128 GB,108MP + 8MP + 2MP,32MP Front Camera,17.22 cm (6.78 inch),6000 mAh,"₹14,999",https://www.flipkart.com/motorola-g60-soft-silver-128-gb/p/itm7d158ff189510?pid=MOBG9CJ6G5GCFAH4&lid=LSTMOBG9CJ6G5GCFAH4CCXVXL&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG9CJ6G5GCFAH4.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
21,POCO,M4 5G,Power Black,4 GB,64 GB,50MP + 2MP,8MP Front Camera,16.71 cm (6.58 inch),5000 mAh,"₹10,749",https://www.flipkart.com/poco-m4-5g-power-black-64-gb/p/itmdca739218a8a0?pid=MOBGDRGPZTSHNQ5H&lid=LSTMOBGDRGPZTSHNQ5HUH1I7O&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBGDRGPZTSHNQ5H.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
22,MOTOROLA,G60,Moonless,6 GB,128 GB,108MP + 8MP + 2MP,32MP Front Camera,17.22 cm (6.78 inch),6000 mAh,"₹14,999",https://www.flipkart.com/motorola-g60-moonless-128-gb/p/itma894654fddb46?pid=MOBG9CJ6KRYW4NJT&lid=LSTMOBG9CJ6KRYW4NJTP2I8X0&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG9CJ6KRYW4NJT.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
23,-,-,-,-,-,-,-,-,-,-,https://www.flipkart.com/motorola-g31-baby-blue-64-gb/p/itm79b9c53dd7e64?pid=MOBG3E8WH8DCRM8H&lid=LSTMOBG3E8WH8DCRM8H2NM88Z&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=f968c68b-be53-4c31-9c43-02e59da74f3a.MOBG3E8WH8DCRM8H.SEARCH&ppt=hp&ppn=homepage&ssid=6fc3x8058w0000001658895509990&qH=1036ba3c4ed2c021
